datetime,open,high,low,close,volume,open_interest
2025-02-03 09:00:00,15009.791091053658,15016.412872777066,14972.300445059285,15000.0,3474,78056
2025-02-03 09:01:00,15007.608319354204,15032.850291807916,14991.391467906551,15007.450712295169,9308,13081
2025-02-03 09:02:00,15010.492197888085,15028.32719483257,14982.484639253677,15005.375717610073,307,44196
2025-02-03 09:03:00,15012.76518513277,15017.467031005513,15004.705462398673,15015.094527472262,2765,46735
2025-02-03 09:04:00,15040.40036553596,15044.382386454607,15037.277443908726,15037.96296473439,2593,90102
2025-02-03 09:05:00,15033.46346087058,15049.658199257263,15030.783302174841,15034.441774957233,6913,89578
2025-02-03 09:06:00,15031.650625886017,15055.795677498181,15027.29565622425,15030.921656510614,732,35498
2025-02-03 09:07:00,15059.138623559127,15067.051232796937,15049.358606788272,15054.658680619465,3183,86865
2025-02-03 09:08:00,15060.048405327561,15067.316772574473,15047.356190049417,15066.212148526514,3819,41656
2025-02-03 09:09:00,15074.893723188328,15078.564648256186,15037.39709604902,15059.138947829719,7223,77695
2025-02-03 09:10:00,15059.730447321643,15086.822787514891,15059.730447321643,15067.30943491362,1779,47900
2025-02-03 09:11:00,15051.183938378152,15065.384004503632,15043.500136584491,15060.326977138402,336,94899
2025-02-03 09:12:00,15062.029637462627,15078.437238081695,15048.15378287695,15053.31293476665,7546,57701
2025-02-03 09:13:00,15062.915283444334,15062.915283444334,15050.077955769373,15056.955268558942,4543,29033
2025-02-03 09:14:00,15032.836775706226,15050.736546900927,15019.584547002522,15028.147093498914,6870,20805
2025-02-03 09:15:00,15006.93806487075,15006.93806487075,14995.508150136822,15002.224774587708,9832,45851
2025-02-03 09:16:00,14993.6973979208,14997.878370403672,14984.152361103725,14993.789210686089,6199,36832
2025-02-03 09:17:00,14971.883225836105,15018.998628815065,14958.6941862408,14978.603034361771,8655,73437
2025-02-03 09:18:00,14983.87792200951,14984.123537228876,14980.36548280011,14983.310020411322,2468,23944
2025-02-03 09:19:00,14964.636358715386,14973.161835930416,14959.091237218543,14969.704814181789,385,29873
2025-02-03 09:20:00,14955.85136407037,14958.970329401334,14947.221624981414,14948.563044664823,248,50372
2025-02-03 09:21:00,14969.37162845379,14998.152133853808,14948.91315267946,14970.472387688382,4137,99464
2025-02-03 09:22:00,14960.914763401934,14983.95381271906,14956.968783725943,14967.092409816152,6649,25379
2025-02-03 09:23:00,14965.697842487896,14972.127864341512,14941.146448599957,14968.103110695987,7221,46751
2025-02-03 09:24:00,14949.86333018838,14963.316329309057,14946.17710099154,14946.777332937967,4995,99822
2025-02-03 09:25:00,14934.429926334427,14977.083062717227,14917.266730589881,14938.640565570591,5380,15110
2025-02-03 09:26:00,14934.155489568304,14941.182339296347,14934.155489568304,14940.297598268868,1112,64341
2025-02-03 09:27:00,14924.919696173394,14924.919696173394,14912.938008737385,14923.101411688482,9815,22087
2025-02-03 09:28:00,14930.536508520283,14930.536508520283,14916.158269248786,14928.707991316423,2885,33762
2025-02-03 09:29:00,14915.959501208481,14922.69660507894,14910.00425081354,14919.741231706339,3825,92617
